familyId,lplace,n,latitude,longitude
adresseavisen1759,København,275,55.68,12.57837
aktuelt,København,4,55.68,12.57837
berlingsketidende,København,520,55.68,12.57837
bornholmsavis,Rønne,8,55.10159,14.70137
bornholmstidende,Rønne,9,55.10159,14.70137
dagbladetkoebenhavn1851,København,200,55.68,12.57837
dagbladetkoege,Køge,3,55.45594,12.18388
dagbladetringsted,Ringsted,11,55.4439,11.78479
dagbladetroskilde,Roskilde,14,55.64201,12.07914
dagensnyheder1868,København,191,55.68,12.57837
dagstelegraphen,København,258,55.68,12.57837
dannevirke1867,Haderslev,13,55.24912,9.4882
faedrelandet1834,København,54,55.68,12.57837
flyveposten,København,5,55.68,12.57837
folketsavis1860,København,84,55.68,12.57837
fredericiadagblad1890,Fredericia,14,55.56705,9.74558
frederiksborgamtsavis,Hillerød,20,55.92844,12.30168
frederiksborgamtstidende,Hillerød,11,55.92844,12.30168
fyensstiftstidende,Odense,71,55.3956,10.38719
fynsamtsavissvendborg,Svendborg,15,55.06114,10.61114
herningfolkeblad,Herning,5,56.14362,8.95675
holstebroavis,Holstebro,13,56.36097,8.61997
horsensavis1828,Horsens,27,55.86056,9.84949
horsensfolkeblad1866,Horsens,22,55.86056,9.84949
isefjordsposten1866,Frederikssund,3,55.83976,12.05869
kalundborgavis1857,Kalundborg,14,55.68466,11.09276
kjoebenhavnsamtsavis,Lyngby,124,55.7618,12.49374
koldingfolkeblad,Kolding,24,55.49125,9.47137
korsoeravis,Korsør,3,55.33058,11.13255
lemvigavis,Lemvig,2,56.54881,8.30477
lemvigfolkeblad,Lemvig,7,56.54881,8.30477
lollandfalstersfolketidende,Nykøbing Falster,16,54.76568,11.87234
lollandfalstersstiftstidende,Nykøbing Falster,28,54.76568,11.87234
middelfartavis1857,Middelfart,31,55.49989,9.73971
midtjyllandsavis1857,Silkeborg,16,56.16105,9.55052
moensfolkeblad,Stege,1,54.99092,12.28847
morgenavisenjyllandsposten,Aarhus,76,56.15782,10.2085
morgenbladet1873,København,68,55.68,12.57837
morgenpostenkoebenhavn1844,København,1,55.68,12.57837
morsoefolkeblad,Nykøbing Mors,1,56.79481,8.861
naestvedtidende,Næstved,7,55.22664,11.75637
nationaltidende,København,112,55.68,12.57837
nykjoebingavis,Nykøbing S,3,55.92269,11.66487
oestsjaellandsavis,Køge,28,55.45594,12.18388
randersamtsavis,Randers,14,56.46834,10.03683
ribestiftstidende,Ribe,33,55.32558,8.7633
roskildeavis,Roskilde,24,55.64201,12.07914
sjaellandspostenringsted,Ringsted,22,55.4439,11.78479
sjaellandstidendeslagelse,Slagelse,7,55.403,11.3549
skiveavis,Skive,7,56.56608,9.02933
soroeamtsdagblad,Slagelse,24,55.403,11.3549
stubbekoebingavis,Stubbekøbing,5,54.88994,12.03942
svendborgamtstidende,Svendborg,32,55.06114,10.61114
thistedamtsavis,Thisted,21,56.95357,8.69158
vejleamtsfolkeblad,Vejle,8,55.70865,9.53705
vendsysseltidendehjoerring,Hjørring,4,57.4578,9.99394
vestslesvigsktidende,Tønder,2,54.94481,8.8554
viborgstiftsfolkeblad,Viborg,6,56.44967,9.39486
viborgstiftstidende,Viborg,26,56.44967,9.39486
aalborgstiftstidende,Aalborg,39,57.04845,9.9087
aarhusamtstidende,Århus,25,56.15782,10.2085
aarhusstiftstidende,Aarhus,60,56.15782,10.2085
