"familyId","lplace","n"
"adresseavisen1759","København",275
"aktuelt","København",4
"berlingsketidende","København",520
"bornholmsavis","Rønne",8
"bornholmstidende","Rønne",9
"dagbladetkoebenhavn1851","København",200
"dagbladetkoege","Køge",3
"dagbladetringsted","Ringsted",11
"dagbladetroskilde","Roskilde",14
"dagensnyheder1868","København",191
"dagstelegraphen","København",258
"dannevirke1867","Haderslev",13
"faedrelandet1834","København",54
"flyveposten","København",5
"folketsavis1860","København",84
"fredericiadagblad1890","Fredericia",14
"frederiksborgamtsavis","Hillerød",20
"frederiksborgamtstidende","Hillerød",11
"fyensstiftstidende","Odense",71
"fynsamtsavissvendborg","Svendborg",15
"herningfolkeblad","Herning",5
"holstebroavis","Holstebro",13
"horsensavis1828","Horsens",27
"horsensfolkeblad1866","Horsens",22
"isefjordsposten1866","Frederikssund",3
"kalundborgavis1857","Kalundborg",14
"kjoebenhavnsamtsavis","Lyngby",124
"koldingfolkeblad","Kolding",24
"korsoeravis","Korsør",3
"lemvigavis","Lemvig",2
"lemvigfolkeblad","Lemvig",7
"lollandfalstersfolketidende","Nykøbing Falster",16
"lollandfalstersstiftstidende","Nykøbing Falster",28
"middelfartavis1857","Middelfart",31
"midtjyllandsavis1857","Silkeborg",16
"moensfolkeblad","Stege",1
"morgenavisenjyllandsposten","Aarhus",76
"morgenbladet1873","København",68
"morgenpostenkoebenhavn1844","København",1
"morsoefolkeblad","Nykøbing Mors",1
"naestvedtidende","Næstved",7
"nationaltidende","København",112
"nykjoebingavis","Nykøbing S",3
"oestsjaellandsavis","Køge",28
"randersamtsavis","Randers",14
"ribestiftstidende","Ribe",33
"roskildeavis","Roskilde",24
"sjaellandspostenringsted","Ringsted",22
"sjaellandstidendeslagelse","Slagelse",7
"skiveavis","Skive",7
"soroeamtsdagblad","Slagelse",24
"stubbekoebingavis","Stubbekøbing",5
"svendborgamtstidende","Svendborg",32
"thistedamtsavis","Thisted",21
"vejleamtsfolkeblad","Vejle",8
"vendsysseltidendehjoerring","Hjørring",4
"vestslesvigsktidende","Tønder",2
"viborgstiftsfolkeblad","Viborg",6
"viborgstiftstidende","Viborg",26
"aalborgstiftstidende","Aalborg",39
"aarhusamtstidende","Århus",25
"aarhusstiftstidende","Aarhus",60
